"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Publisher","ISSN","ISBN","CODEN","Document Type","Publication Stage","Open Access","Source","EID"
"Stachowski A.","Stachowski, Andree (57194209282)","57194209282","ERP - Basic condition for Industry 4.0: A look at the control center behind the trend; [ERP - grundbedingung für industrie 4.0: Ein blick auf die schaltzentrale hinter dem trend]","2015","ZWF Zeitschrift fuer Wirtschaftlichen Fabrikbetrieb","110","9","","562","564","2","0","10.3139/104.111389","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019256816&doi=10.3139%2f104.111389&partnerID=40&md5=1e147e7163688e8be70dd9a639ecabc5","ProALPHA Gruppe, Germany","Stachowski A., ProALPHA Gruppe, Germany","The only way to achieve a sustainable optimization in production is to keep an eye on the entire process. This is exactly the approach of Industry 4.0. The concept transforms automation islands into a connected factory where machines communicate with each other and interact with the workpieces. This evolution has gathered way in the past years: The production industry is reinventing itself. The ERP system is at the heart of this transformation. It is the central data management platform for all business-critical information. It is where the information originates from-whether to clients, to suppliers or to production hubs. There is a lot to consider, to make sure that ERP is ready for the new challenges. © Carl Hanser Verlag, München.","","Carl Hanser Verlag","09470085","","ZZWFF","Article","Final","","Scopus","2-s2.0-85019256816"
"Kharunnisa A.; Noerlina; Meiryani","Kharunnisa, Amelia (58657361100); Noerlina (56623165900); Meiryani (57189235033)","58657361100; 56623165900; 57189235033","ERP Implementation and Foreign Ownership in High-Tech Industry to Achieve Sustainable Development Goals","2023","E3S Web of Conferences","426","","02113","","","","0","10.1051/e3sconf/202342602113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174611262&doi=10.1051%2fe3sconf%2f202342602113&partnerID=40&md5=a4f988e3fbaa408369fd9115063aab0f","Information System Department, School of Information System, Bina Nusantara University, Jakarta, 11480, Indonesia; Accounting Department, School of Accounting, Bina Nusantara University, Jakarta, 11480, Indonesia","Kharunnisa A., Information System Department, School of Information System, Bina Nusantara University, Jakarta, 11480, Indonesia; Noerlina, Information System Department, School of Information System, Bina Nusantara University, Jakarta, 11480, Indonesia; Meiryani, Accounting Department, School of Accounting, Bina Nusantara University, Jakarta, 11480, Indonesia","This research aims to identify how ERP implementation can benefit the high-tech industry and achieve sustainable development goals. This research also examines how foreign ownership can affect the performance of the high-technology industry. High technology has been widely used in any industry, especially manufacturing. The research method used in this study was Systematic Literature Review (SLR). The steps taken from this research method start with research planning, implementation, and reporting. This study's evident in how much previous research has discussed ERP implementation in high-tech industries and how to achieve sustainable development goals. The ERP implementation in the high-tech industry will benefit the company as it will make it easier for its departments to carry out its business processes, and the knowledge and expertise of foreign investors will influence the high-tech industry. This research is urgently needed to achieve sustainable development goals, as implementing ERP in high-tech industries can increase operational efficiency and corporate productivity. ERP implementation research can be used to explore how ERP can be used to support sustainable product development. Foreign ownership has an essential impact on the high-tech industry to understand the implications of sustainable development goals. For further research, you can conduct a more in-depth analysis of how important it is for the high-technology industry to achieve sustainable development goals.  © The Authors, published by EDP Sciences. This is an open access article distributed under the terms of the Creative Commons Attribution License 4.0  (http ://creativecommons.org/licenses/by/4.0/). ","","EDP Sciences","25550403","","","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85174611262"
"Almeida D.; Ferreira L.P.; Silva F.J.G.; Sá J.C.; Pereira M.T.; Ávila P.","Almeida, Diogo (57466715200); Ferreira, Luís P. (57188755263); Silva, F.J.G. (55985614300); Sá, J.C. (56029853700); Pereira, M.T. (56624034400); Ávila, Paulo (8609138000)","57466715200; 57188755263; 55985614300; 56029853700; 56624034400; 8609138000","Preventing Failure in the Implementation of ERP Systems Through an Operational Reorganization of ERP Software Companies","2023","Lecture Notes in Networks and Systems","605 LNNS","","","328","338","10","0","10.1007/978-3-031-22375-4_27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145032291&doi=10.1007%2f978-3-031-22375-4_27&partnerID=40&md5=0623b3f2acb210d1327217d663548ca8","ISEP – School of Engineering, Polytechnic of Porto, Porto, Portugal; INEGI – Instituto de Ciência e Inovação em Engenharia Mecânica e Engenharia Industrial, Porto, Portugal; INESC TEC – Instituto de Engenharia de Sistemas e Computadores, Tecnologia E Ciência, Porto, Portugal","Almeida D., ISEP – School of Engineering, Polytechnic of Porto, Porto, Portugal; Ferreira L.P., ISEP – School of Engineering, Polytechnic of Porto, Porto, Portugal, INEGI – Instituto de Ciência e Inovação em Engenharia Mecânica e Engenharia Industrial, Porto, Portugal; Silva F.J.G., ISEP – School of Engineering, Polytechnic of Porto, Porto, Portugal, INEGI – Instituto de Ciência e Inovação em Engenharia Mecânica e Engenharia Industrial, Porto, Portugal; Sá J.C., ISEP – School of Engineering, Polytechnic of Porto, Porto, Portugal, INEGI – Instituto de Ciência e Inovação em Engenharia Mecânica e Engenharia Industrial, Porto, Portugal; Pereira M.T., ISEP – School of Engineering, Polytechnic of Porto, Porto, Portugal, INEGI – Instituto de Ciência e Inovação em Engenharia Mecânica e Engenharia Industrial, Porto, Portugal; Ávila P., ISEP – School of Engineering, Polytechnic of Porto, Porto, Portugal, INESC TEC – Instituto de Engenharia de Sistemas e Computadores, Tecnologia E Ciência, Porto, Portugal","The use of increasingly comprehensive, efficient and effective information systems is a crucial need for the sustainable development of companies in all sectors. However, the implementation of these systems has not always met expectations. In this work, this problem is studied from the point of view of ERP (Enterprise Resources Planning) software companies, and the objective is to present an operational reorganization for these companies based on a greater specialization of operational groups, reducing these failure rates in the implementation of these ERP systems. This research has shown that the ERP software companies sector presents a series of characteristics that allow to obtain, through the proposed reorganization, and leveraged on the concepts of learning curves and economies of scale, improvements in terms of efficiency and quality in the service provided to customers. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","ERP; ERP failures; Failure rates; Implementation; Information systems","Springer Science and Business Media Deutschland GmbH","23673370","978-303122374-7","","Conference paper","Final","","Scopus","2-s2.0-85145032291"
"Beloeil H.; Slim K.","Beloeil, Helene (6506326815); Slim, Karem (7102098302)","6506326815; 7102098302","Sustainability of anaesthesia components of an enhanced recovery program (ERP) in colorectal and orthopaedics surgery","2019","Anaesthesia Critical Care and Pain Medicine","38","1","","25","28","3","4","10.1016/j.accpm.2018.01.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043997241&doi=10.1016%2fj.accpm.2018.01.005&partnerID=40&md5=84d73cbacf479abab6edb7e67a7cee85","Inserm, unité Numecan, CIC 1414, Department of anaesthesia and intensive care, université de Rennes 1, CHU de Rennes, 2, rue Henri-Le-Guilloux, cedex 9, Rennes, 35033, France; Department of Digestive Surgery, CHU de Clermont-Ferrand, Place Lucie-Aubrac, Clermont-Ferrand, 63000, France; Grace, 9, allée du Riboulet, Beaumont, 63110, France","Beloeil H., Inserm, unité Numecan, CIC 1414, Department of anaesthesia and intensive care, université de Rennes 1, CHU de Rennes, 2, rue Henri-Le-Guilloux, cedex 9, Rennes, 35033, France; Slim K., Department of Digestive Surgery, CHU de Clermont-Ferrand, Place Lucie-Aubrac, Clermont-Ferrand, 63000, France","Background: Sustainability of ERP is a challenge and data are scarce on the subject. The aim of this study was to assess if application of enhanced recovery elements through the Francophone Group of Enhanced Recovery after Surgery (Grace) in the anaesthesia management was sustainable 2 years after its implementation. Materials and methods: We conducted a retrospective analysis of the prospective Grace database between October 2014 and October 2016. The evolution of each recommendation item over time was analysed using non-parametric Spearman correlation coefficient. Results: A total of 67 and 43 centres corresponding to 2067 and 3022 patients participated to the Grace audit in colorectal and orthopaedics surgery, respectively. Colorectal surgery: Mean length of stay was 5 (± 4) days and readmission rate was 6.6%. Application of most items did not statistically change. It worsened over time for PONV prophylaxis (P = 0.01) and prevention of intraoperative hypothermia (P = 0.02); and improved for NSAID administration (P = 0.01). Orthopaedics surgery: Mean length of stay was 3 (± 2) days and readmission rate was 1.7%. There was a trend towards improvement for most items. It reached statistical significance for PONV prophylaxis (P = 0.001), limited preoperative fasting (P = 0.01). While the use of a perineural catheter (P = 0.001) decreased over time, infiltration of the surgical site statistically increased (P = 0.05). Conclusion: This study shows on a large scale a trend towards less application of all ERP items over time. Continuous audits should be encouraged to expect further improvements. © 2018 Société française d'anesthésie et de réanimation (Sfar)","Colorectal surgery; ERP; Orthopaedics surgery; Sustainability","Elsevier Masson SAS","23525568","","","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85043997241"
"Domagała A.; Grobler-Dębska K.; Wąs J.; Kucharska E.","Domagała, Adam (57224509708); Grobler-Dębska, Katarzyna (56025875200); Wąs, Jarosław (9333221800); Kucharska, Edyta (55860800816)","57224509708; 56025875200; 9333221800; 55860800816","Post-implementation erp software development: Upgrade or reimplementation","2021","Applied Sciences (Switzerland)","11","11","4937","","","","9","10.3390/app11114937","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107748452&doi=10.3390%2fapp11114937&partnerID=40&md5=367380af318c9a38f0433831b1e4a89f","Faculty of Electrical Engineering, Automatics, Computer Science and Biomedical Engineering, AGH University of Science and Technology, Krakow, 30-059, Poland","Domagała A., Faculty of Electrical Engineering, Automatics, Computer Science and Biomedical Engineering, AGH University of Science and Technology, Krakow, 30-059, Poland; Grobler-Dębska K., Faculty of Electrical Engineering, Automatics, Computer Science and Biomedical Engineering, AGH University of Science and Technology, Krakow, 30-059, Poland; Wąs J., Faculty of Electrical Engineering, Automatics, Computer Science and Biomedical Engineering, AGH University of Science and Technology, Krakow, 30-059, Poland; Kucharska E., Faculty of Electrical Engineering, Automatics, Computer Science and Biomedical Engineering, AGH University of Science and Technology, Krakow, 30-059, Poland","The paper deals with problems in the post-implementation phase of management Enterprise Resource Planning (ERP) systems. Proper management of the system maintenance stage is a basis for efficient system development in terms of business needs. Based on the research and analysis of collected materials, it turns out that making a decision to upgrade the system is equally crucial. We present revealed mechanisms determining the post-implementation approach to upgrade or reimplement the ERP system. The main aim is to determine the methodology and difference understanding to achieve success in the post-implementation stage. The paper shows that the systemic approach to the maintenance stage of the ERP system affects its further decisions: upgrade or reimplement. It has a direct impact on future maintenance costs and the scope of new business demands. This research is an outcome of industry–academia collaboration and based on several developed implementation systems, achieved upgrade and reimplementation projects. Based on case study analysis, we show that reimplementation means an evolution of the current ERP processes rather than another attempt to “reimplement” an unsuccessful system implementation. On the other hand, upgrades are not only a tool or system actualization but the easiest way to bolster company sustainability and to have the information system up to date. The issues discussed in the article will be used to develop changes in the implementation methodology of ERP systems. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Enterprise Resource Planning (ERP); Management and empirical research methods; Post-implementation methodology; Software reimplementation; Software upgrade","MDPI AG","20763417","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85107748452"
"Tsai W.-H.; Lan S.-H.; Lee H.-L.","Tsai, Wen-Hsien (15081916000); Lan, Shu-Hui (57205729633); Lee, Hsiu-Li (56144805500)","15081916000; 57205729633; 56144805500","Applying ERP and MES to implement the IFRS 8 operating segments: A steel group's activity-based standard costing production decision model","2020","Sustainability (Switzerland)","12","10","4303","","","","4","10.3390/su12104303","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085695814&doi=10.3390%2fsu12104303&partnerID=40&md5=80021c99211c93ebf686cb67aed5f210","Department of Business Administration, National Central University, 300, Jhongda Rd., Jhongli District, Taoyuan, 32001, Taiwan; Department of Accounting Information, Chihlee University of Technology, 313, Sec. 1, Wenhua Rd., Banqiao District, New Taipei City, 22050, Taiwan","Tsai W.-H., Department of Business Administration, National Central University, 300, Jhongda Rd., Jhongli District, Taoyuan, 32001, Taiwan; Lan S.-H., Department of Business Administration, National Central University, 300, Jhongda Rd., Jhongli District, Taoyuan, 32001, Taiwan; Lee H.-L., Department of Accounting Information, Chihlee University of Technology, 313, Sec. 1, Wenhua Rd., Banqiao District, New Taipei City, 22050, Taiwan","The purpose of this paper is to create a smart operating roadmap, which shows the entire process of a strategic business plan, including functions, methods, and tools, to link IFRS 8 (International Financial Reporting Standards No.8) to ABSC (Activity-Based Standard Costing), and to integrate ERP (Enterprise Resource Planning), MES (Manufacturing Execution System) under an Industry 4.0 environment. The IFRS is a global accounting framework that provides high-quality global accounting standards and governance principles for companies. Using the ABSC production decision model can support the Chief Operating Decision Maker (CODM) in planning Product-Business Unit (Product-BU) organization, which complies with the definition of the IFRS8 operating segments. The case study of the steel group uses the organizational design of the ERP system to achieve the systematization of reportable segments financial statements. In this process, the mathematical programing methods and ABSC can be used to obtain the optimal solutions for sales, costs, and profits. An international steel group case is used to demonstrate how to apply the methodology proposed in this paper for operating planning and control. The sensitivity analysis on the carbon emission reduction goal of environmental sustainability is also presented for the steel group case. © 2020 by the authors.","Activity-based costing (ABC); Activity-based standard costing (ABSC); Business unit (BU); Carbon emission reduction; Chief operating decision maker (CODM); Cyber-physical systems (CPS); Enterprise resource planning (ERP); Environmental sustainability; IFRS 8 operating segments (IFRS 8); International financial reporting standards (IFRS); Internet of things (IoT); Manufacturing execution system (MES)","MDPI","20711050","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85085695814"
"Soliman M.S.M.; Karia N.; Moeinzadeh S.; Islam M.S.; Mahmud I.","Soliman, Mohamed Soliman Mohamed (57194030427); Karia, Noorliza (8450919100); Moeinzadeh, Soroush (56941868800); Islam, Md Shamimul (57200161376); Mahmud, Imran (57190176695)","57194030427; 8450919100; 56941868800; 57200161376; 57190176695","Modelling intention to use ERP systems among higher education institutions in Egypt: UTAUT perspective","2019","International Journal of Supply Chain Management","8","2","","429","440","11","14","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064964532&partnerID=40&md5=8b23795acedf4f6433755fae898b96b6","School of Management, Universiti Sains Malaysia USM, Penang, 11800, Malaysia; Graduate School of Business, Universiti Sains Malaysia USM, Penang, 11800, Malaysia; Daffodil International University, Dhaka, Bangladesh","Soliman M.S.M., School of Management, Universiti Sains Malaysia USM, Penang, 11800, Malaysia; Karia N., Graduate School of Business, Universiti Sains Malaysia USM, Penang, 11800, Malaysia, Daffodil International University, Dhaka, Bangladesh; Moeinzadeh S., Graduate School of Business, Universiti Sains Malaysia USM, Penang, 11800, Malaysia, Daffodil International University, Dhaka, Bangladesh; Islam M.S., Graduate School of Business, Universiti Sains Malaysia USM, Penang, 11800, Malaysia, Daffodil International University, Dhaka, Bangladesh; Mahmud I., Graduate School of Business, Universiti Sains Malaysia USM, Penang, 11800, Malaysia, Daffodil International University, Dhaka, Bangladesh","Firms strive to achieve sustainable competitive advantage in diverse and changing marketplaces. Coping with such circumstances has required firms to align information technology with business strategy in order to exploit their capabilities and change business practices. In this regard, an Enterprise Resource Planning (ERP) system has become increasingly important for organizations to build strong capabilities, improve operational performance, enhance business decision making and compete in a global business context. In other words, an ERP system integrates an organization's resources and also involves business processes and organizational changes. With the ubiquitous growth of IS investment, implementation of ERP systems has grown strongly. Recently, Higher Education Institutions (HEIs) have started to adopt ERP systems. An example is Egypt, where they have done so to increase their competitiveness in the global market. However, historically, ERP implementation has been shown to have a high failure rate, which is one of the main reasons users resist using the ERP system. Conversely, users' acceptance of the ERP system is the key to the ERP implementation. Thus, this study attempts to find out the important factors that affect end users' intention to use the ERP system during the pre-implementation phase of the ERP lifecycle in the higher education context. The Unified Theory of Acceptance and Use of Technology (UTAUT) with minor adjustments is the basis of this study. Ultimately, the findings of this research could enrich employees' experience by giving HEIs a tool for better understanding those factors affecting their ability to effectively utilize ERP systems. The proposed model can enhance the current level of the motivating factors influencing employees' motivation to utilize ERP systems.Despite several studies were conducted with the UTAUT model, but researchers paid less attention to the classify the constructs like technological, organizational and individual context. At the same time, limited research was conducted using the variables like compatibility and complexity more especially in educational settings. © ExcelingTech Pub, UK.","Egypt; Enterprise Resource Planning; ERP user's acceptance; Higher Education; Intention to use; Symbolic adoption; UTAUT","ExcelingTech","20513771","","","Article","Final","","Scopus","2-s2.0-85064964532"
"Oltra-Badenes R.; Gil-Gomez H.; Guerola-Navarro V.; Vicedo P.","Oltra-Badenes, Raul (55638955800); Gil-Gomez, Hermenegildo (55639514100); Guerola-Navarro, Vicente (57210432987); Vicedo, Pau (57208211376)","55638955800; 55639514100; 57210432987; 57208211376","Is it possible to manage the product recovery processes in an ERP? Analysis of functional needs","2019","Sustainability (Switzerland)","11","16","4380","","","","14","10.3390/su11164380","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070673640&doi=10.3390%2fsu11164380&partnerID=40&md5=97d4c8cc266191f4805c149f837f213f","Department of Business Organization, Universitat Politècnica de València, Valencia, 46022, Spain","Oltra-Badenes R., Department of Business Organization, Universitat Politècnica de València, Valencia, 46022, Spain; Gil-Gomez H., Department of Business Organization, Universitat Politècnica de València, Valencia, 46022, Spain; Guerola-Navarro V., Department of Business Organization, Universitat Politècnica de València, Valencia, 46022, Spain; Vicedo P., Department of Business Organization, Universitat Politècnica de València, Valencia, 46022, Spain","In today's business environment, different factors make product return and product recovery increasingly more important in order to recover value and increase the company's profitability. In such an environment, where sustainability concerns and awareness of environmental responsibility in industrial production has considerably grown, reverse logistics (RL) becomes more relevant and, thus, its correct management using suitable information systems (IS) is fundamental. Nevertheless, today's IS in general, and in Enterprise Resources Planning (ERP) in particular, are developed based on conventional logistic processes that do not contemplate the specific characteristics of RL. The main objective of this work is to analyze the functional requirements of an IS to manage product recovery processes that serve as a guide to develop a suitable ERP for RL. The research methodology has been conducted with a qualitative approach, through which the main specific requirements that an IS must meet to manage RL have been stablished, and a data model for the development of solutions to the requirements identified in an ERP system has been proposed. For the development in the ERP it is recommended to start with the requirement of RBOM (Reverse Bill Of Materials) management, since it is the most complex development and has a greater relationship with the rest. © 2019 by the authors.","ERP; Information systems; Product recovery; Reverse logistics; Value recovery","MDPI","20711050","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85070673640"
"Tarigan Z.J.H.; Oktavio A.; Soeprapto W.; Harjanti D.; Malelak M.I.; Basana S.R.","Tarigan, Zeplin Jiwa Husada (57195947416); Oktavio, Adrie (57226272234); Soeprapto, Widjojo (57226277461); Harjanti, Dhyah (57226285807); Malelak, Mariana Ing (57226277060); Basana, Sautma Ronni (57204673431)","57195947416; 57226272234; 57226277461; 57226285807; 57226277060; 57204673431","Key user ERP capability maintaining ERP sustainability through effective design of business process and integration data management","2021","International Journal of Data and Network Science","5","3","","283","294","11","5","10.5267/j.ijdns.2021.6.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111009060&doi=10.5267%2fj.ijdns.2021.6.005&partnerID=40&md5=9e5d049d0fa56f3bdbc504f2c960c8d2","Master Management, Petra Christian University, Surabaya, Indonesia; Tourism Department, Universitas Ciputra Surabaya, Indonesia; Management Department, Petra Christian University, Surabaya, Indonesia","Tarigan Z.J.H., Master Management, Petra Christian University, Surabaya, Indonesia; Oktavio A., Tourism Department, Universitas Ciputra Surabaya, Indonesia; Soeprapto W., Management Department, Petra Christian University, Surabaya, Indonesia; Harjanti D., Management Department, Petra Christian University, Surabaya, Indonesia; Malelak M.I., Management Department, Petra Christian University, Surabaya, Indonesia; Basana S.R., Master Management, Petra Christian University, Surabaya, Indonesia","Business competition is increasingly complex, and there are no clear boundaries between products, so company operational processes are needed efficiently and effectively. The performance achieved is obtained through the implementation of an integrated information technology known as ERP. ERP implementation requires a person in charge of a business function called a key user who understands business processes and collaborates with ERP system vendors. The study obtained data that can further process from 77 manufacturing companies in East Java by purchasing an ERP or self-development package. Data processing uses PLS to answer all research hypotheses. The results show that key user capability was able to have a direct effect on the effective design of business processes of 0.643 and integration data management of 0.373. In contrast, it had no direct impact on ERP suitability. Effective Design of Business Processes has an immediate effect on Integration Data Management of 0.338 and ERP suitability of 0.395. The results also show that Integration Data Management has a direct effect on ERP suitability of 0.462. The data processing results for the indirect effect showed that key user capability influenced ERP suitability through the effective design of business processes of 0.507. Key user capability affects ERP suitability through Integration Data Management, and it is obtained as much as 0.254. The last hypothesis, key user capability, influences ERP suitability through effective Design of Business Processes and Integration Data Management of 0.182. The study results provide theoretical contributions to ERP implementation success factors, while practical gifts give key users a good understanding of the company's business processes and ERP systems. © 2021 by the authors; licensee Growing Science, Canada.","Effective design of business processes; ERP Suitability; Integration Data Management; Key user ERP Capability","Growing Science","25618148","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85111009060"
"Hrischev R.","Hrischev, Radoslav (57218378919)","57218378919","Dynamical Modeling with Vensim PLE of the Process of Data Collection in the ERP Systems","2024","AIP Conference Proceedings","2980","1","020003","","","","0","10.1063/5.0184204","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184307722&doi=10.1063%2f5.0184204&partnerID=40&md5=b7dc9c919c0261cbc3f50ff18a2a529a","Department of Control Systems, Technical University of Sofia, Branch Plovdiv, Plovdiv, Bulgaria","Hrischev R., Department of Control Systems, Technical University of Sofia, Branch Plovdiv, Plovdiv, Bulgaria","System dynamics is an effective approach to the investigation of processes in complex systems in various scientific and applied systems. Typical example of such is the Enterprise Resources Planning (ERP) systems, which are already a major factor in effective and sustainable management in business and public sector. The new technologies IoT, Big Data, Cloud Computing has led to a structural change in data collection processes. This article presents a study of the process of data collection in modern control systems with the specialized tool of system dynamic modeling Vensim PLE. A model of the data collection process and the results of the model simulation are presented. © 2024 American Institute of Physics Inc.. All rights reserved.","","American Institute of Physics Inc.","0094243X","978-073544814-8","","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85184307722"
"Jayender R.P.; Gosh D.","Jayender, R. Paul (58103007700); Gosh, Dibyajyoti (58103007800)","58103007700; 58103007800","Intelligent Decision Support System of Big Data and IOT Analytics Interoperability with ERP Promoting SCM Sustainability in Automotive: (Time-Inconsistency Technique for Adoption in Inbound Logistics)","2023","Lecture Notes in Networks and Systems","624 LNNS","","","503","518","15","0","10.1007/978-3-031-25344-7_47","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148042207&doi=10.1007%2f978-3-031-25344-7_47&partnerID=40&md5=014ab4921fb2566f0c40629635adfca0","Vit Business School, Vit University, Vellore, 632014, India","Jayender R.P., Vit Business School, Vit University, Vellore, 632014, India; Gosh D., Vit Business School, Vit University, Vellore, 632014, India","Article analyzes the ease of Intelligent ERP adoption for sustainable SCM practices in Automotive OEM. Data is the most important factor in establishing Intelligence-adjusted sustainability. To promote industrial progress and optimize the sustainability, Automotive OEMs should prioritize digital transformation to strengthen its sustainability strategies. Intelligent ERP through interoperability of Big data, Machine learning and IOT driven analytics can result in smart supply chain management and realize intelligent systems in supply-chain management. This intelligent supply network will be fueled by emerging IOT and ERP integration. The finding in literature review explains how the technologies will complement every facet of supply chain management. The paper concludes with a look ahead at ERP usage in future with the usage of IOT and Big data Analytics in the Automotive industry and propose the framework for intelligent network to identify statistical model within the infrastructure ecosystem and adopt Time-inconsistency technique through artificial intelligence. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Analytics; Automotive; Big data; ERP; IOT; SCM; Sustainability","Springer Science and Business Media Deutschland GmbH","23673370","978-303125343-0","","Conference paper","Final","","Scopus","2-s2.0-85148042207"
"Omar K.; Gomez J.M.","Omar, Khalil (57189660607); Gomez, Jorge Marx (7402100609)","57189660607; 7402100609","An adaptive system architecture for devising adaptive user interfaces for mobile ERP apps","2017","Proceedings of 2nd International Conference on the Applications of Information Technology in Developing Renewable Energy Processes and Systems, IT-DREPS 2017","2018-January","","","1","6","5","3","10.1109/IT-DREPS.2017.8277812","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046679052&doi=10.1109%2fIT-DREPS.2017.8277812&partnerID=40&md5=b2776a58f79e0f388272a395288889cb","Department of Computing Science, University of Oldenburg, Oldenburg, Germany","Omar K., Department of Computing Science, University of Oldenburg, Oldenburg, Germany; Gomez J.M., Department of Computing Science, University of Oldenburg, Oldenburg, Germany","The mobile ERP model can enrich the research on smart city concept with an ICT application that can enhance the sustainability and the quality of business life for enterprises' employees, and economic prosperity for people. Presently, this model has become a core requirement for enterprises that have ERP systems, due to the benefits that can be reaped from it. However, this model suffers from poor usability, due to the usability challenges that are inherited from ERP systems, and the mobile context of use. Adaptive user interfaces (AUIs) were exploited in numerous research works as a means to improve the usability of software applications by addressing their usability challenges through these types of UIs. However, a knowledge gap was identified in finding an appropriate adaptive system architecture that can support the adaptation processes in AUIs for mobile ERP apps. Therefore, this paper aims to bridge this gap by presenting an adaptive system architecture that can enable the automatic adaptation for the UIs' components of mobile ERP apps according to the context of use. © 2017 IEEE.","adaptive system architecture; mobile ERP; usability","Institute of Electrical and Electronics Engineers Inc.","","978-153861984-1","","Conference paper","Final","","Scopus","2-s2.0-85046679052"
"Marsintauli F.; Sari M.","Marsintauli, Frihardina (57214221041); Sari, Mulia (58657702200)","57214221041; 58657702200","Evaluation of ERP Oracle NetSuite Implementation Using the Unified Theory of Acceptance and Use of Technology (UTAUT) Model to Create a Sustainable Business","2023","E3S Web of Conferences","426","","02037","","","","0","10.1051/e3sconf/202342602037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174583876&doi=10.1051%2fe3sconf%2f202342602037&partnerID=40&md5=28dd2f2b9e507a8b47774e2790f30a69","Accounting Department, Binus Online Learning, Bina Nusantara University, Jakarta, 11480, Indonesia","Marsintauli F., Accounting Department, Binus Online Learning, Bina Nusantara University, Jakarta, 11480, Indonesia; Sari M., Accounting Department, Binus Online Learning, Bina Nusantara University, Jakarta, 11480, Indonesia","This study aims to evaluate using ERP Oracle NetSuite to support a company's business processes with the UTAUT model. Oracle NetSuite is the first company engaged in data storage in the cloud. The UTAUT model has four main factors: performance expectations, effort expectations, social influence, and facility conditions, influencing the system's user acceptance level. The total number of respondents obtained was 84 Oracle Netsuite users, and the data were processed using SEM-PLS. The results of this study indicate that performance expectations significantly affect user intentions, and user intentions significantly affect use behavior. In contrast, effort expectations, social influence, and facilitating conditions do not significantly affect user intentions. This research concludes that the difficulty level using Oracle Netsuite is considered relatively high. However, this system will still be used because management has committed to improving the quality of data processing and analysis, and Oracle Netsuite is deemed sufficient to accommodate this.  © The Authors, published by EDP Sciences. This is an open access article distributed under the terms of the Creative Commons Attribution License 4.0  (http ://creativecommons.org/licenses/by/4.0/).  ","","EDP Sciences","25550403","","","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85174583876"
